network,week,n,t,pct,rm,date
Fox News,2018,10,15,0.6666666666666666,0.4199290293040293,2017-12-24
CNN,2018.019,109,316,0.3449367088607595,0.3791255515525572,2017-12-31
Fox News,2018.019,8,26,0.3076923076923077,0.3764022435897436,2017-12-31
CNN,2018.038,152,297,0.5117845117845118,0.38196001867273865,2018-01-08
Fox News,2018.038,10,32,0.3125,0.2811641483516484,2018-01-08
CNN,2018.058,81,287,0.28222996515679444,0.36576130245045657,2018-01-15
Fox News,2018.058,7,32,0.21875,0.28424107142857147,2018-01-15
CNN,2018.077,105,270,0.3888888888888889,0.2893303260194801,2018-01-22
Fox News,2018.077,8,28,0.2857142857142857,0.24059883004926114,2018-01-22
CNN,2018.096,79,282,0.2801418439716312,0.26100256446001124,2018-01-29
Fox News,2018.096,8,25,0.32,0.20376847290640399,2018-01-29
CNN,2018.115,68,330,0.20606060606060606,0.23227349292272054,2018-02-05
Fox News,2018.115,4,29,0.13793103448275862,0.2240065681444992,2018-02-05
CNN,2018.135,50,296,0.16891891891891891,0.24064039879371804,2018-02-12
Fox News,2018.135,2,28,0.07142857142857142,0.20852269717675728,2018-02-12
CNN,2018.154,80,292,0.273972602739726,0.2995148576681769,2018-02-19
Fox News,2018.154,11,30,0.36666666666666664,0.28433405620312646,2018-02-19
CNN,2018.173,106,338,0.3136094674556213,0.33738221531708795,2018-02-26
Fox News,2018.173,8,31,0.25806451612903225,0.3179475015812777,2018-02-26
CNN,2018.192,136,308,0.44155844155844154,0.37529044871520145,2018-03-05
Fox News,2018.192,15,34,0.4411764705882353,0.27775142314990514,2018-03-05
CNN,2018.212,99,309,0.32038834951456313,0.3875820881604444,2018-03-12
Fox News,2018.212,7,34,0.20588235294117646,0.2601102941176471,2018-03-12
CNN,2018.231,123,289,0.42560553633217996,0.3732242238025801,2018-03-19
Fox News,2018.231,7,34,0.20588235294117646,0.27860405525846704,2018-03-19
CNN,2018.25,115,317,0.3627760252365931,0.40506743493140196,2018-03-26
Fox News,2018.25,6,32,0.1875,0.31046680035650626,2018-03-26
CNN,2018.269,121,315,0.38412698412698415,0.39114253987657016,2018-04-02
Fox News,2018.269,17,33,0.5151515151515151,0.32930871212121215,2018-04-02
CNN,2018.288,120,268,0.44776119402985076,0.37906488576867975,2018-04-09
Fox News,2018.288,10,30,0.3333333333333333,0.37271148989898994,2018-04-09
CNN,2018.308,118,319,0.36990595611285265,0.3893711679059478,2018-04-16
Fox News,2018.308,9,32,0.28125,0.35329861111111116,2018-04-16
CNN,2018.327,100,318,0.31446540880503143,0.3585119504795662,2018-04-23
Fox News,2018.327,13,36,0.3611111111111111,0.3667394713261649,2018-04-23
CNN,2018.346,151,355,0.4253521126760563,0.3375788698114816,2018-04-30
Fox News,2018.346,14,32,0.4375,0.402487577386771,2018-04-30
CNN,2018.365,108,333,0.32432432432432434,0.34171513085064187,2018-05-07
Fox News,2018.365,12,31,0.3870967741935484,0.4302653551645488,2018-05-07
CNN,2018.385,89,311,0.2861736334405145,0.3274016425589284,2018-05-14
Fox News,2018.385,14,33,0.42424242424242425,0.4375570218312154,2018-05-14
CNN,2018.404,95,287,0.3310104529616725,0.3287673699884856,2018-05-21
Fox News,2018.404,17,36,0.4722222222222222,0.4588383838383839,2018-05-21
CNN,2018.423,120,326,0.36809815950920244,0.35656170997272785,2018-05-28
Fox News,2018.423,14,30,0.4666666666666667,0.4543402777777778,2018-05-28
CNN,2018.442,93,282,0.32978723404255317,0.35320098862420163,2018-06-04
Fox News,2018.442,17,36,0.4722222222222222,0.3968907828282829,2018-06-04
CNN,2018.462,120,302,0.3973509933774834,0.3474440543807038,2018-06-11
Fox News,2018.462,13,32,0.40625,0.35259253721424777,2018-06-11
CNN,2018.481,94,296,0.31756756756756754,0.32970312822300674,2018-06-18
Fox News,2018.481,8,33,0.24242424242424243,0.31787031499202556,2018-06-18
CNN,2018.5,98,284,0.34507042253521125,0.3218508871250127,2018-06-25
Fox News,2018.5,11,38,0.2894736842105263,0.32236842105263164,2018-06-25
CNN,2018.519,66,255,0.25882352941176473,0.36949151555832405,2018-07-02
Fox News,2018.519,8,24,0.3333333333333333,0.38676236044657103,2018-07-02
CNN,2018.538,101,276,0.36594202898550726,0.40087096874805067,2018-07-09
Fox News,2018.538,14,33,0.42424242424242425,0.42153679653679654,2018-07-09
CNN,2018.558,125,246,0.508130081300813,0.4130881633181864,2018-07-16
Fox News,2018.558,16,32,0.5,0.4111201298701299,2018-07-16
CNN,2018.577,144,306,0.47058823529411764,0.38544880991796343,2018-07-23
Fox News,2018.577,12,28,0.42857142857142855,0.38081709956709964,2018-07-23
CNN,2018.596,96,312,0.3076923076923077,0.332523432449903,2018-07-30
Fox News,2018.596,7,24,0.2916666666666667,0.3135094072594073,2018-07-30
CNN,2018.615,83,325,0.2553846153846154,0.3075916054144531,2018-08-06
Fox News,2018.615,10,33,0.30303030303030304,0.2777951215451216,2018-08-06
